101
81
T [GeV]		muB [GeV]		c3_T4 [fm^3/GeV * GeV^4]
0.155000		0.040000		-0.078625
0.156000		0.040000		-0.075153
0.157000		0.040000		-0.071868
0.158000		0.040000		-0.068757
0.159000		0.040000		-0.065811
0.160000		0.040000		-0.063019
0.161000		0.040000		-0.060372
0.162000		0.040000		-0.057860
0.163000		0.040000		-0.055477
0.164000		0.040000		-0.053213
0.165000		0.040000		-0.051064
0.166000		0.040000		-0.049020
0.167000		0.040000		-0.047077
0.168000		0.040000		-0.045229
0.169000		0.040000		-0.043471
0.170000		0.040000		-0.041796
0.171000		0.040000		-0.040202
0.172000		0.040000		-0.038682
0.173000		0.040000		-0.037234
0.174000		0.040000		-0.035852
0.175000		0.040000		-0.034534
0.176000		0.040000		-0.033277
0.177000		0.040000		-0.032076
0.178000		0.040000		-0.030929
0.179000		0.040000		-0.029833
0.180000		0.040000		-0.028786
0.181000		0.040000		-0.027784
0.182000		0.040000		-0.026826
0.183000		0.040000		-0.025910
0.184000		0.040000		-0.025032
0.185000		0.040000		-0.024192
0.186000		0.040000		-0.023387
0.187000		0.040000		-0.022616
0.188000		0.040000		-0.021877
0.189000		0.040000		-0.021168
0.190000		0.040000		-0.020488
0.191000		0.040000		-0.019836
0.192000		0.040000		-0.019210
0.193000		0.040000		-0.018609
0.194000		0.040000		-0.018032
0.195000		0.040000		-0.017477
0.196000		0.040000		-0.016945
0.197000		0.040000		-0.016432
0.198000		0.040000		-0.015940
0.199000		0.040000		-0.015466
0.200000		0.040000		-0.015011
0.100000		0.050000		-2.613821
0.101000		0.050000		-2.385614
0.102000		0.050000		-2.180684
0.103000		0.050000		-1.996338
0.104000		0.050000		-1.830228
0.105000		0.050000		-1.680305
0.106000		0.050000		-1.544775
0.107000		0.050000		-1.422067
0.108000		0.050000		-1.310801
0.109000		0.050000		-1.209760
0.110000		0.050000		-1.117874
0.111000		0.050000		-1.034198
0.112000		0.050000		-0.957895
0.113000		0.050000		-0.888222
0.114000		0.050000		-0.824523
0.115000		0.050000		-0.766212
0.116000		0.050000		-0.712768
0.117000		0.050000		-0.663726
0.118000		0.050000		-0.618672
0.119000		0.050000		-0.577234
0.120000		0.050000		-0.539080
0.121000		0.050000		-0.503913
0.122000		0.050000		-0.471463
0.123000		0.050000		-0.441490
0.124000		0.050000		-0.413778
0.125000		0.050000		-0.388130
0.126000		0.050000		-0.364371
0.127000		0.050000		-0.342340
0.128000		0.050000		-0.321893
0.129000		0.050000		-0.302900
0.130000		0.050000		-0.285241
0.131000		0.050000		-0.268809
0.132000		0.050000		-0.253506
0.133000		0.050000		-0.239242
0.134000		0.050000		-0.225936
0.135000		0.050000		-0.213515
0.136000		0.050000		-0.201910
0.137000		0.050000		-0.191060
0.138000		0.050000		-0.180907
0.139000		0.050000		-0.171402
0.140000		0.050000		-0.162495
0.141000		0.050000		-0.154144
0.142000		0.050000		-0.146308
0.143000		0.050000		-0.138951
0.144000		0.050000		-0.132038
0.145000		0.050000		-0.125540
0.146000		0.050000		-0.119427
0.147000		0.050000		-0.113673
0.148000		0.050000		-0.108254
0.149000		0.050000		-0.103146
0.150000		0.050000		-0.098330
0.151000		0.050000		-0.093786
0.152000		0.050000		-0.089496
0.153000		0.050000		-0.085444
0.154000		0.050000		-0.081614
0.155000		0.050000		-0.077993
0.156000		0.050000		-0.074567
0.157000		0.050000		-0.071324
0.158000		0.050000		-0.068253
0.159000		0.050000		-0.065343
0.160000		0.050000		-0.062584
0.161000		0.050000		-0.059968
0.162000		0.050000		-0.057485
0.163000		0.050000		-0.055128
0.164000		0.050000		-0.052889
0.165000		0.050000		-0.050762
0.166000		0.050000		-0.048740
0.167000		0.050000		-0.046817
0.168000		0.050000		-0.044987
0.169000		0.050000		-0.043245
0.170000		0.050000		-0.041586
0.171000		0.050000		-0.040006
0.172000		0.050000		-0.038499
0.173000		0.050000		-0.037063
0.174000		0.050000		-0.035693
0.175000		0.050000		-0.034386
0.176000		0.050000		-0.033139
0.177000		0.050000		-0.031947
0.178000		0.050000		-0.030809
0.179000		0.050000		-0.029721
0.180000		0.050000		-0.028681
0.181000		0.050000		-0.027686
0.182000		0.050000		-0.026735
0.183000		0.050000		-0.025824
0.184000		0.050000		-0.024952
0.185000		0.050000		-0.024117
0.186000		0.050000		-0.023317
0.187000		0.050000		-0.022551
0.188000		0.050000		-0.021816
0.189000		0.050000		-0.021111
0.190000		0.050000		-0.020435
0.191000		0.050000		-0.019786
0.192000		0.050000		-0.019163
0.193000		0.050000		-0.018566
0.194000		0.050000		-0.017991
0.195000		0.050000		-0.017439
0.196000		0.050000		-0.016909
