100
100
T [fm^-1]		muB [fm^-1]		G_dfce [1]
0.764242		0.164848		0.120416
0.766667		0.164848		0.118996
0.769091		0.164848		0.117597
0.771515		0.164848		0.116221
0.773939		0.164848		0.114866
0.776364		0.164848		0.113532
0.778788		0.164848		0.112219
0.781212		0.164848		0.110926
0.783636		0.164848		0.109654
0.786061		0.164848		0.108401
0.788485		0.164848		0.107167
0.790909		0.164848		0.105952
0.793333		0.164848		0.104757
0.795758		0.164848		0.103579
0.798182		0.164848		0.102420
0.800606		0.164848		0.101279
0.803030		0.164848		0.100155
0.805455		0.164848		0.099048
0.807879		0.164848		0.097958
0.810303		0.164848		0.096885
0.812727		0.164848		0.095829
0.815152		0.164848		0.094788
0.817576		0.164848		0.093764
0.820000		0.164848		0.092754
0.580000		0.192323		0.381999
0.582424		0.192323		0.376671
0.584848		0.192323		0.371421
0.587273		0.192323		0.366247
0.589697		0.192323		0.361147
0.592121		0.192323		0.356122
0.594545		0.192323		0.351170
0.596970		0.192323		0.346291
0.599394		0.192323		0.341483
0.601818		0.192323		0.336747
0.604242		0.192323		0.332079
0.606667		0.192323		0.327481
0.609091		0.192323		0.322951
0.611515		0.192323		0.318488
0.613939		0.192323		0.314092
0.616364		0.192323		0.309761
0.618788		0.192323		0.305495
0.621212		0.192323		0.301293
0.623636		0.192323		0.297154
0.626061		0.192323		0.293077
0.628485		0.192323		0.289061
0.630909		0.192323		0.285106
0.633333		0.192323		0.281211
0.635758		0.192323		0.277375
0.638182		0.192323		0.273598
0.640606		0.192323		0.269877
0.643030		0.192323		0.266214
0.645455		0.192323		0.262606
0.647879		0.192323		0.259053
0.650303		0.192323		0.255555
0.652727		0.192323		0.252111
0.655152		0.192323		0.248719
0.657576		0.192323		0.245380
0.660000		0.192323		0.242091
0.662424		0.192323		0.238854
0.664848		0.192323		0.235667
0.667273		0.192323		0.232528
0.669697		0.192323		0.229439
0.672121		0.192323		0.226397
0.674545		0.192323		0.223402
0.676970		0.192323		0.220454
0.679394		0.192323		0.217552
0.681818		0.192323		0.214694
0.684242		0.192323		0.211882
0.686667		0.192323		0.209113
0.689091		0.192323		0.206387
0.691515		0.192323		0.203703
0.693939		0.192323		0.201062
0.696364		0.192323		0.198462
0.698788		0.192323		0.195902
0.701212		0.192323		0.193382
0.703636		0.192323		0.190902
0.706061		0.192323		0.188460
0.708485		0.192323		0.186057
0.710909		0.192323		0.183691
0.713333		0.192323		0.181363
0.715758		0.192323		0.179071
0.718182		0.192323		0.176814
0.720606		0.192323		0.174593
0.723030		0.192323		0.172407
0.725455		0.192323		0.170255
0.727879		0.192323		0.168137
0.730303		0.192323		0.166051
0.732727		0.192323		0.163999
0.735152		0.192323		0.161979
0.737576		0.192323		0.159990
0.740000		0.192323		0.158032
0.742424		0.192323		0.156105
0.744848		0.192323		0.154208
0.747273		0.192323		0.152341
0.749697		0.192323		0.150503
0.752121		0.192323		0.148693
0.754545		0.192323		0.146912
0.756970		0.192323		0.145158
0.759394		0.192323		0.143432
0.761818		0.192323		0.141733
0.764242		0.192323		0.140060
0.766667		0.192323		0.138413
0.769091		0.192323		0.136792
0.771515		0.192323		0.135196
0.773939		0.192323		0.133625
0.776364		0.192323		0.132078
0.778788		0.192323		0.130555
0.781212		0.192323		0.129055
0.783636		0.192323		0.127579
0.786061		0.192323		0.126126
0.788485		0.192323		0.124695
0.790909		0.192323		0.123286
0.793333		0.192323		0.121898
0.795758		0.192323		0.120532
0.798182		0.192323		0.119187
0.800606		0.192323		0.117862
0.803030		0.192323		0.116558
0.805455		0.192323		0.115274
0.807879		0.192323		0.114009
0.810303		0.192323		0.112764
0.812727		0.192323		0.111537
0.815152		0.192323		0.110330
0.817576		0.192323		0.109140
0.820000		0.192323		0.107969
0.580000		0.219798		0.432750
0.582424		0.219798		0.426759
0.584848		0.219798		0.420854
0.587273		0.219798		0.415033
0.589697		0.219798		0.409295
0.592121		0.219798		0.403640
0.594545		0.219798		0.398067
0.596970		0.219798		0.392574
0.599394		0.219798		0.387161
0.601818		0.219798		0.381827
0.604242		0.219798		0.376570
0.606667		0.219798		0.371391
0.609091		0.219798		0.366287
0.611515		0.219798		0.361258
0.613939		0.219798		0.356303
0.616364		0.219798		0.351422
0.618788		0.219798		0.346612
0.621212		0.219798		0.341874
0.623636		0.219798		0.337206
0.626061		0.219798		0.332608
0.628485		0.219798		0.328079
0.630909		0.219798		0.323617
0.633333		0.219798		0.319222
0.635758		0.219798		0.314893
0.638182		0.219798		0.310629
0.640606		0.219798		0.306430
0.643030		0.219798		0.302294
0.645455		0.219798		0.298220
0.647879		0.219798		0.294208
0.650303		0.219798		0.290257
0.652727		0.219798		0.286367
0.655152		0.219798		0.282535
0.657576		0.219798		0.278762
0.660000		0.219798		0.275046
0.662424		0.219798		0.271388
0.664848		0.219798		0.267785
0.667273		0.219798		0.264238
0.669697		0.219798		0.260745
0.672121		0.219798		0.257305
0.674545		0.219798		0.253919
0.676970		0.219798		0.250585
0.679394		0.219798		0.247302
0.681818		0.219798		0.244070
0.684242		0.219798		0.240888
0.686667		0.219798		0.237755
0.689091		0.219798		0.234670
0.691515		0.219798		0.231634
0.693939		0.219798		0.228644
0.696364		0.219798		0.225701
0.698788		0.219798		0.222803
0.701212		0.219798		0.219950
0.703636		0.219798		0.217142
0.706061		0.219798		0.214377
0.708485		0.219798		0.211656
0.710909		0.219798		0.208976
0.713333		0.219798		0.206339
0.715758		0.219798		0.203742
0.718182		0.219798		0.201186
0.720606		0.219798		0.198669
0.723030		0.219798		0.196192
0.725455		0.219798		0.193753
0.727879		0.219798		0.191353
0.730303		0.219798		0.188989
0.732727		0.219798		0.186663
0.735152		0.219798		0.184373
0.737576		0.219798		0.182118
0.740000		0.219798		0.179898
0.742424		0.219798		0.177713
0.744848		0.219798		0.175562
0.747273		0.219798		0.173444
0.749697		0.219798		0.171360
0.752121		0.219798		0.169307
0.754545		0.219798		0.167287
0.756970		0.219798		0.165298
0.759394		0.219798		0.163339
0.761818		0.219798		0.161411
0.764242		0.219798		0.159513
0.766667		0.219798		0.157644
0.769091		0.219798		0.155805
0.771515		0.219798		0.153993
0.773939		0.219798		0.152210
0.776364		0.219798		0.150454
0.778788		0.219798		0.148725
0.781212		0.219798		0.147023
0.783636		0.219798		0.145347
0.786061		0.219798		0.143696
0.788485		0.219798		0.142072
0.790909		0.219798		0.140472
0.793333		0.219798		0.138896
0.795758		0.219798		0.137345
0.798182		0.219798		0.135817
0.800606		0.219798		0.134313
0.803030		0.219798		0.132831
0.805455		0.219798		0.131372
0.807879		0.219798		0.129936
0.810303		0.219798		0.128521
0.812727		0.219798		0.127127
0.815152		0.219798		0.125755
0.817576		0.219798		0.124403
0.820000		0.219798		0.123072
0.580000		0.247273		0.482084
0.582424		0.247273		0.475465
0.584848		0.247273		0.468938
0.587273		0.247273		0.462504
0.589697		0.247273		0.456161
0.592121		0.247273		0.449908
0.594545		0.247273		0.443744
0.596970		0.247273		0.437668
0.599394		0.247273		0.431679
0.601818		0.247273		0.425776
0.604242		0.247273		0.419958
0.606667		0.247273		0.414224
0.609091		0.247273		0.408573
0.611515		0.247273		0.403004
0.613939		0.247273		0.397517
0.616364		0.247273		0.392109
0.618788		0.247273		0.386780
0.621212		0.247273		0.381530
0.623636		0.247273		0.376357
0.626061		0.247273		0.371260
0.628485		0.247273		0.366238
0.630909		0.247273		0.361290
