100
100
T [fm^-1]		muB [fm^-1]		c0_df14 [fm^4]
0.798182		0.137374		-0.686779
0.800606		0.137374		-0.667938
0.803030		0.137374		-0.649666
0.805455		0.137374		-0.631943
0.807879		0.137374		-0.614754
0.810303		0.137374		-0.598079
0.812727		0.137374		-0.581902
0.815152		0.137374		-0.566208
0.817576		0.137374		-0.550980
0.820000		0.137374		-0.536203
0.580000		0.164848		-12.500788
0.582424		0.164848		-12.038057
0.584848		0.164848		-11.594310
0.587273		0.164848		-11.168686
0.589697		0.164848		-10.760370
0.592121		0.164848		-10.368587
0.594545		0.164848		-9.992599
0.596970		0.164848		-9.631705
0.599394		0.164848		-9.285236
0.601818		0.164848		-8.952558
0.604242		0.164848		-8.633066
0.606667		0.164848		-8.326185
0.609091		0.164848		-8.031366
0.611515		0.164848		-7.748088
0.613939		0.164848		-7.475854
0.616364		0.164848		-7.214190
0.618788		0.164848		-6.962645
0.621212		0.164848		-6.720787
0.623636		0.164848		-6.488207
0.626061		0.164848		-6.264514
0.628485		0.164848		-6.049333
0.630909		0.164848		-5.842310
0.633333		0.164848		-5.643104
0.635758		0.164848		-5.451391
0.638182		0.164848		-5.266861
0.640606		0.164848		-5.089220
0.643030		0.164848		-4.918184
0.645455		0.164848		-4.753484
0.647879		0.164848		-4.594862
0.650303		0.164848		-4.442073
0.652727		0.164848		-4.294880
0.655152		0.164848		-4.153060
0.657576		0.164848		-4.016397
0.660000		0.164848		-3.884686
0.662424		0.164848		-3.757730
0.664848		0.164848		-3.635341
0.667273		0.164848		-3.517339
0.669697		0.164848		-3.403551
0.672121		0.164848		-3.293814
0.674545		0.164848		-3.187968
0.676970		0.164848		-3.085864
0.679394		0.164848		-2.987356
0.681818		0.164848		-2.892306
0.684242		0.164848		-2.800581
0.686667		0.164848		-2.712054
0.689091		0.164848		-2.626603
0.691515		0.164848		-2.544112
0.693939		0.164848		-2.464467
0.696364		0.164848		-2.387563
0.698788		0.164848		-2.313295
0.701212		0.164848		-2.241566
0.703636		0.164848		-2.172280
0.706061		0.164848		-2.105347
0.708485		0.164848		-2.040679
0.710909		0.164848		-1.978194
0.713333		0.164848		-1.917809
0.715758		0.164848		-1.859450
0.718182		0.164848		-1.803040
0.720606		0.164848		-1.748510
0.723030		0.164848		-1.695792
0.725455		0.164848		-1.644818
0.727879		0.164848		-1.595528
0.730303		0.164848		-1.547859
0.732727		0.164848		-1.501755
0.735152		0.164848		-1.457158
0.737576		0.164848		-1.414016
0.740000		0.164848		-1.372277
0.742424		0.164848		-1.331891
0.744848		0.164848		-1.292810
0.747273		0.164848		-1.254989
0.749697		0.164848		-1.218383
0.752121		0.164848		-1.182949
0.754545		0.164848		-1.148648
0.756970		0.164848		-1.115439
0.759394		0.164848		-1.083285
0.761818		0.164848		-1.052150
0.764242		0.164848		-1.021998
0.766667		0.164848		-0.992795
0.769091		0.164848		-0.964509
0.771515		0.164848		-0.937109
0.773939		0.164848		-0.910564
0.776364		0.164848		-0.884846
0.778788		0.164848		-0.859927
0.781212		0.164848		-0.835779
0.783636		0.164848		-0.812377
0.786061		0.164848		-0.789696
0.788485		0.164848		-0.767711
0.790909		0.164848		-0.746399
0.793333		0.164848		-0.725739
0.795758		0.164848		-0.705707
0.798182		0.164848		-0.686284
0.800606		0.164848		-0.667450
0.803030		0.164848		-0.649184
0.805455		0.164848		-0.631469
0.807879		0.164848		-0.614287
0.810303		0.164848		-0.597619
0.812727		0.164848		-0.581450
0.815152		0.164848		-0.565762
0.817576		0.164848		-0.550541
0.820000		0.164848		-0.535772
0.580000		0.192323		-12.512774
0.582424		0.192323		-12.049298
0.584848		0.192323		-11.604845
0.587273		0.192323		-11.178553
0.589697		0.192323		-10.769604
0.592121		0.192323		-10.377222
0.594545		0.192323		-10.000668
0.596970		0.192323		-9.639237
0.599394		0.192323		-9.292261
0.601818		0.192323		-8.959103
0.604242		0.192323		-8.639158
0.606667		0.192323		-8.331849
0.609091		0.192323		-8.036626
0.611515		0.192323		-7.752966
0.613939		0.192323		-7.480371
0.616364		0.192323		-7.218367
0.618788		0.192323		-6.966499
0.621212		0.192323		-6.724339
0.623636		0.192323		-6.491473
0.626061		0.192323		-6.267510
0.628485		0.192323		-6.052076
0.630909		0.192323		-5.844813
0.633333		0.192323		-5.645382
0.635758		0.192323		-5.453458
0.638182		0.192323		-5.268729
0.640606		0.192323		-5.090900
0.643030		0.192323		-4.919688
0.645455		0.192323		-4.754823
0.647879		0.192323		-4.596046
0.650303		0.192323		-4.443111
0.652727		0.192323		-4.295782
0.655152		0.192323		-4.153835
0.657576		0.192323		-4.017052
0.660000		0.192323		-3.885229
0.662424		0.192323		-3.758168
0.664848		0.192323		-3.635681
0.667273		0.192323		-3.517588
0.669697		0.192323		-3.403715
0.672121		0.192323		-3.293899
0.674545		0.192323		-3.187980
0.676970		0.192323		-3.085807
0.679394		0.192323		-2.987236
0.681818		0.192323		-2.892127
0.684242		0.192323		-2.800347
0.686667		0.192323		-2.711770
0.689091		0.192323		-2.626273
0.691515		0.192323		-2.543738
0.693939		0.192323		-2.464055
0.696364		0.192323		-2.387114
0.698788		0.192323		-2.312813
0.701212		0.192323		-2.241054
0.703636		0.192323		-2.171741
0.706061		0.192323		-2.104783
0.708485		0.192323		-2.040093
0.710909		0.192323		-1.977587
0.713333		0.192323		-1.917185
0.715758		0.192323		-1.858809
0.718182		0.192323		-1.802385
0.720606		0.192323		-1.747843
0.723030		0.192323		-1.695114
0.725455		0.192323		-1.644131
0.727879		0.192323		-1.594833
0.730303		0.192323		-1.547158
0.732727		0.192323		-1.501048
0.735152		0.192323		-1.456448
0.737576		0.192323		-1.413303
0.740000		0.192323		-1.371562
0.742424		0.192323		-1.331175
0.744848		0.192323		-1.292094
0.747273		0.192323		-1.254274
0.749697		0.192323		-1.217669
0.752121		0.192323		-1.182238
0.754545		0.192323		-1.147940
0.756970		0.192323		-1.114735
0.759394		0.192323		-1.082585
0.761818		0.192323		-1.051454
0.764242		0.192323		-1.021306
0.766667		0.192323		-0.992109
0.769091		0.192323		-0.963829
0.771515		0.192323		-0.936435
0.773939		0.192323		-0.909897
0.776364		0.192323		-0.884186
0.778788		0.192323		-0.859274
0.781212		0.192323		-0.835134
0.783636		0.192323		-0.811739
0.786061		0.192323		-0.789065
0.788485		0.192323		-0.767089
0.790909		0.192323		-0.745785
0.793333		0.192323		-0.725133
0.795758		0.192323		-0.705109
0.798182		0.192323		-0.685695
0.800606		0.192323		-0.666869
0.803030		0.192323		-0.648612
0.805455		0.192323		-0.630906
0.807879		0.192323		-0.613732
0.810303		0.192323		-0.597073
0.812727		0.192323		-0.580912
0.815152		0.192323		-0.565233
0.817576		0.192323		-0.550021
0.820000		0.192323		-0.535260
0.580000		0.219798		-12.526064
0.582424		0.219798		-12.061757
0.584848		0.219798		-11.616515
0.587273		0.219798		-11.189477
0.589697		0.219798		-10.779823
0.592121		0.219798		-10.386773
0.594545		0.219798		-10.009585
0.596970		0.219798		-9.647556
0.599394		0.219798		-9.300015
0.601818		0.219798		-8.966322
0.604242		0.219798		-8.645871
0.606667		0.219798		-8.338084
0.609091		0.219798		-8.042409
0.611515		0.219798		-7.758323
0.613939		0.219798		-7.485326
0.616364		0.219798		-7.222941
0.618788		0.219798		-6.970716
0.621212		0.219798		-6.728217
0.623636		0.219798		-6.495033
0.626061		0.219798		-6.270769
0.628485		0.219798		-6.055052
0.630909		0.219798		-5.847524
0.633333		0.219798		-5.647842
0.635758		0.219798		-5.455681
0.638182		0.219798		-5.270731
0.640606		0.219798		-5.092694
0.643030		0.219798		-4.921286
0.645455		0.219798		-4.756237
0.647879		0.219798		-4.597288
0.650303		0.219798		-4.444191
0.652727		0.219798		-4.296711
0.655152		0.219798		-4.154621
0.657576		0.219798		-4.017706
0.660000		0.219798		-3.885759
0.662424		0.219798		-3.758582
0.664848		0.219798		-3.635987
0.667273		0.219798		-3.517793
0.669697		0.219798		-3.403826
0.672121		0.219798		-3.293922
0.674545		0.219798		-3.187922
0.676970		0.219798		-3.085674
0.679394		0.219798		-2.987032
0.681818		0.219798		-2.891859
0.684242		0.219798		-2.800019
0.686667		0.219798		-2.711387
0.689091		0.219798		-2.625839
0.691515		0.219798		-2.543257
0.693939		0.219798		-2.463531
0.696364		0.219798		-2.386551
0.698788		0.219798		-2.312214
0.701212		0.219798		-2.240422
0.703636		0.219798		-2.171080
0.706061		0.219798		-2.104095
0.708485		0.219798		-2.039381
0.710909		0.219798		-1.976853
0.713333		0.219798		-1.916432
0.715758		0.219798		-1.858039
0.718182		0.219798		-1.801601
0.720606		0.219798		-1.747046
0.723030		0.219798		-1.694305
0.725455		0.219798		-1.643314
0.727879		0.219798		-1.594007
0.730303		0.219798		-1.546326
0.732727		0.219798		-1.500212
0.735152		0.219798		-1.455608
