101
81
T [GeV]		muB [GeV]		F_over_T [fm^-1 / GeV]
0.188000		0.060000		-0.143577
0.189000		0.060000		-0.143513
0.190000		0.060000		-0.143457
0.191000		0.060000		-0.143409
0.192000		0.060000		-0.143369
0.193000		0.060000		-0.143337
0.194000		0.060000		-0.143312
0.195000		0.060000		-0.143294
0.196000		0.060000		-0.143283
0.197000		0.060000		-0.143279
0.198000		0.060000		-0.143282
0.199000		0.060000		-0.143292
0.200000		0.060000		-0.143308
0.100000		0.070000		-0.208779
0.101000		0.070000		-0.207389
0.102000		0.070000		-0.205995
0.103000		0.070000		-0.204600
0.104000		0.070000		-0.203204
0.105000		0.070000		-0.201810
0.106000		0.070000		-0.200418
0.107000		0.070000		-0.199031
0.108000		0.070000		-0.197650
0.109000		0.070000		-0.196276
0.110000		0.070000		-0.194910
0.111000		0.070000		-0.193554
0.112000		0.070000		-0.192209
0.113000		0.070000		-0.190875
0.114000		0.070000		-0.189555
0.115000		0.070000		-0.188249
0.116000		0.070000		-0.186958
0.117000		0.070000		-0.185682
0.118000		0.070000		-0.184423
0.119000		0.070000		-0.183181
0.120000		0.070000		-0.181957
0.121000		0.070000		-0.180751
0.122000		0.070000		-0.179565
0.123000		0.070000		-0.178398
0.124000		0.070000		-0.177251
0.125000		0.070000		-0.176125
0.126000		0.070000		-0.175019
0.127000		0.070000		-0.173935
0.128000		0.070000		-0.172872
0.129000		0.070000		-0.171830
0.130000		0.070000		-0.170811
0.131000		0.070000		-0.169813
0.132000		0.070000		-0.168837
0.133000		0.070000		-0.167884
0.134000		0.070000		-0.166952
0.135000		0.070000		-0.166043
0.136000		0.070000		-0.165156
0.137000		0.070000		-0.164291
0.138000		0.070000		-0.163448
0.139000		0.070000		-0.162626
0.140000		0.070000		-0.161827
0.141000		0.070000		-0.161049
0.142000		0.070000		-0.160292
0.143000		0.070000		-0.159557
0.144000		0.070000		-0.158842
0.145000		0.070000		-0.158149
0.146000		0.070000		-0.157475
0.147000		0.070000		-0.156823
0.148000		0.070000		-0.156190
0.149000		0.070000		-0.155577
0.150000		0.070000		-0.154983
0.151000		0.070000		-0.154409
0.152000		0.070000		-0.153854
0.153000		0.070000		-0.153317
