100
100
T [fm^-1]		muB [fm^-1]		c3_df14 [fm^4]
0.747273		0.082424		-47.542107
0.749697		0.082424		-45.838119
0.752121		0.082424		-44.202696
0.754545		0.082424		-42.632792
0.756970		0.082424		-41.125506
0.759394		0.082424		-39.678080
0.761818		0.082424		-38.287889
0.764242		0.082424		-36.952431
0.766667		0.082424		-35.669326
0.769091		0.082424		-34.436306
0.771515		0.082424		-33.251209
0.773939		0.082424		-32.111977
0.776364		0.082424		-31.016647
0.778788		0.082424		-29.963349
0.781212		0.082424		-28.950299
0.783636		0.082424		-27.975797
0.786061		0.082424		-27.038219
0.788485		0.082424		-26.136019
0.790909		0.082424		-25.267719
0.793333		0.082424		-24.431909
0.795758		0.082424		-23.627245
0.798182		0.082424		-22.852442
0.800606		0.082424		-22.106273
0.803030		0.082424		-21.387567
0.805455		0.082424		-20.695204
0.807879		0.082424		-20.028115
0.810303		0.082424		-19.385279
0.812727		0.082424		-18.765718
0.815152		0.082424		-18.168500
0.817576		0.082424		-17.592730
0.820000		0.082424		-17.037557
0.580000		0.109899		-971.913640
0.582424		0.109899		-922.166516
0.584848		0.109899		-875.245248
0.587273		0.109899		-830.973919
0.589697		0.109899		-789.188500
0.592121		0.109899		-749.735983
0.594545		0.109899		-712.473584
0.596970		0.109899		-677.268006
0.599394		0.109899		-643.994762
0.601818		0.109899		-612.537546
0.604242		0.109899		-582.787654
0.606667		0.109899		-554.643450
0.609091		0.109899		-528.009868
0.611515		0.109899		-502.797957
0.613939		0.109899		-478.924454
0.616364		0.109899		-456.311398
0.618788		0.109899		-434.885757
0.621212		0.109899		-414.579101
0.623636		0.109899		-395.327282
0.626061		0.109899		-377.070152
0.628485		0.109899		-359.751289
0.630909		0.109899		-343.317748
0.633333		0.109899		-327.719834
0.635758		0.109899		-312.910884
0.638182		0.109899		-298.847067
0.640606		0.109899		-285.487201
0.643030		0.109899		-272.792578
0.645455		0.109899		-260.726804
0.647879		0.109899		-249.255651
0.650303		0.109899		-238.346918
0.652727		0.109899		-227.970299
0.655152		0.109899		-218.097266
0.657576		0.109899		-208.700955
0.660000		0.109899		-199.756059
0.662424		0.109899		-191.238735
0.664848		0.109899		-183.126509
0.667273		0.109899		-175.398193
0.669697		0.109899		-168.033805
0.672121		0.109899		-161.014494
0.674545		0.109899		-154.322473
0.676970		0.109899		-147.940954
0.679394		0.109899		-141.854084
0.681818		0.109899		-136.046892
0.684242		0.109899		-130.505236
0.686667		0.109899		-125.215752
0.689091		0.109899		-120.165808
0.691515		0.109899		-115.343463
0.693939		0.109899		-110.737422
0.696364		0.109899		-106.337001
0.698788		0.109899		-102.132093
0.701212		0.109899		-98.113129
0.703636		0.109899		-94.271052
0.706061		0.109899		-90.597286
0.708485		0.109899		-87.083707
0.710909		0.109899		-83.722619
0.713333		0.109899		-80.506729
0.715758		0.109899		-77.429123
0.718182		0.109899		-74.483247
0.720606		0.109899		-71.662886
0.723030		0.109899		-68.962143
0.725455		0.109899		-66.375425
0.727879		0.109899		-63.897422
0.730303		0.109899		-61.523095
0.732727		0.109899		-59.247660
0.735152		0.109899		-57.066573
0.737576		0.109899		-54.975517
0.740000		0.109899		-52.970393
0.742424		0.109899		-51.047303
0.744848		0.109899		-49.202542
0.747273		0.109899		-47.432590
0.749697		0.109899		-45.734097
0.752121		0.109899		-44.103878
0.754545		0.109899		-42.538903
0.756970		0.109899		-41.036287
0.759394		0.109899		-39.593287
0.761818		0.109899		-38.207289
0.764242		0.109899		-36.875807
0.766667		0.109899		-35.596470
0.769091		0.109899		-34.367022
0.771515		0.109899		-33.185314
0.773939		0.109899		-32.049296
0.776364		0.109899		-30.957015
0.778788		0.109899		-29.906609
0.781212		0.109899		-28.896304
0.783636		0.109899		-27.924407
0.786061		0.109899		-26.989302
0.788485		0.109899		-26.089449
0.790909		0.109899		-25.223378
0.793333		0.109899		-24.389685
0.795758		0.109899		-23.587031
0.798182		0.109899		-22.814138
0.800606		0.109899		-22.069783
0.803030		0.109899		-21.352800
0.805455		0.109899		-20.662076
0.807879		0.109899		-19.996544
0.810303		0.109899		-19.355188
0.812727		0.109899		-18.737034
0.815152		0.109899		-18.141154
0.817576		0.109899		-17.566657
0.820000		0.109899		-17.012694
0.580000		0.137374		-964.264847
0.582424		0.137374		-915.005497
0.584848		0.137374		-868.538950
0.587273		0.137374		-824.691666
0.589697		0.137374		-783.301811
0.592121		0.137374		-744.218405
0.594545		0.137374		-707.300540
0.596970		0.137374		-672.416655
0.599394		0.137374		-639.443868
0.601818		0.137374		-608.267358
0.604242		0.137374		-578.779798
0.606667		0.137374		-550.880825
0.609091		0.137374		-524.476555
0.611515		0.137374		-499.479131
0.613939		0.137374		-475.806306
0.616364		0.137374		-453.381059
0.618788		0.137374		-432.131233
0.621212		0.137374		-411.989207
0.623636		0.137374		-392.891590
0.626061		0.137374		-374.778929
0.628485		0.137374		-357.595453
0.630909		0.137374		-341.288822
0.633333		0.137374		-325.809903
0.635758		0.137374		-311.112553
0.638182		0.137374		-297.153430
0.640606		0.137374		-283.891801
0.643030		0.137374		-271.289380
0.645455		0.137374		-259.310166
0.647879		0.137374		-247.920295
0.650303		0.137374		-237.087906
0.652727		0.137374		-226.783011
0.655152		0.137374		-216.977377
0.657576		0.137374		-207.644415
0.660000		0.137374		-198.759076
0.662424		0.137374		-190.297756
0.664848		0.137374		-182.238205
0.667273		0.137374		-174.559445
0.669697		0.137374		-167.241687
0.672121		0.137374		-160.266265
0.674545		0.137374		-153.615561
0.676970		0.137374		-147.272945
0.679394		0.137374		-141.222714
0.681818		0.137374		-135.450036
0.684242		0.137374		-129.940900
0.686667		0.137374		-124.682062
0.689091		0.137374		-119.661005
0.691515		0.137374		-114.865893
0.693939		0.137374		-110.285533
0.696364		0.137374		-105.909334
0.698788		0.137374		-101.727275
0.701212		0.137374		-97.729870
0.703636		0.137374		-93.908140
0.706061		0.137374		-90.253579
0.708485		0.137374		-86.758131
0.710909		0.137374		-83.414164
0.713333		0.137374		-80.214444
0.715758		0.137374		-77.152113
0.718182		0.137374		-74.220668
0.720606		0.137374		-71.413945
0.723030		0.137374		-68.726092
0.725455		0.137374		-66.151558
0.727879		0.137374		-63.685076
0.730303		0.137374		-61.321645
0.732727		0.137374		-59.056515
0.735152		0.137374		-56.885176
0.737576		0.137374		-54.803345
0.740000		0.137374		-52.806950
0.742424		0.137374		-50.892122
0.744848		0.137374		-49.055183
0.747273		0.137374		-47.292636
0.749697		0.137374		-45.601157
0.752121		0.137374		-43.977580
0.754545		0.137374		-42.418897
0.756970		0.137374		-40.922243
0.759394		0.137374		-39.484893
0.761818		0.137374		-38.104250
0.764242		0.137374		-36.777843
0.766667		0.137374		-35.503319
0.769091		0.137374		-34.278434
0.771515		0.137374		-33.101053
0.773939		0.137374		-31.969140
0.776364		0.137374		-30.880753
0.778788		0.137374		-29.834043
0.781212		0.137374		-28.827245
0.783636		0.137374		-27.858675
0.786061		0.137374		-26.926729
0.788485		0.137374		-26.029876
0.790909		0.137374		-25.166653
0.793333		0.137374		-24.335665
0.795758		0.137374		-23.535580
0.798182		0.137374		-22.765127
0.800606		0.137374		-22.023091
0.803030		0.137374		-21.308312
0.805455		0.137374		-20.619682
0.807879		0.137374		-19.956141
0.810303		0.137374		-19.316677
0.812727		0.137374		-18.700323
0.815152		0.137374		-18.106153
0.817576		0.137374		-17.533283
0.820000		0.137374		-16.980868
0.580000		0.164848		-955.065243
0.582424		0.164848		-906.391049
0.584848		0.164848		-860.470111
0.587273		0.164848		-817.131725
0.589697		0.164848		-776.216677
0.592121		0.164848		-737.576410
0.594545		0.164848		-701.072255
0.596970		0.164848		-666.574724
0.599394		0.164848		-633.962850
0.601818		0.164848		-603.123591
0.604242		0.164848		-573.951261
0.606667		0.164848		-546.347021
0.609091		0.164848		-520.218400
0.611515		0.164848		-495.478849
0.613939		0.164848		-472.047335
0.616364		0.164848		-449.847963
0.618788		0.164848		-428.809622
0.621212		0.164848		-408.865662
0.623636		0.164848		-389.953590
0.626061		0.164848		-372.014795
0.628485		0.164848		-354.994281
0.630909		0.164848		-338.840432
0.633333		0.164848		-323.504788
0.635758		0.164848		-308.941832
0.638182		0.164848		-295.108803
0.640606		0.164848		-281.965512
0.643030		0.164848		-269.474175
0.645455		0.164848		-257.599262
0.647879		0.164848		-246.307348
0.650303		0.164848		-235.566979
0.652727		0.164848		-225.348547
0.655152		0.164848		-215.624173
0.657576		0.164848		-206.367600
0.660000		0.164848		-197.554086
0.662424		0.164848		-189.160317
0.664848		0.164848		-181.164310
0.667273		0.164848		-173.545338
0.669697		0.164848		-166.283849
0.672121		0.164848		-159.361392
0.674545		0.164848		-152.760557
0.676970		0.164848		-146.464903
0.679394		0.164848		-140.458906
0.681818		0.164848		-134.727903
0.684242		0.164848		-129.258036
0.686667		0.164848		-124.036211
0.689091		0.164848		-119.050046
0.691515		0.164848		-114.287835
0.693939		0.164848		-109.738502
0.696364		0.164848		-105.391571
0.698788		0.164848		-101.237124
0.701212		0.164848		-97.265777
0.703636		0.164848		-93.468640
0.706061		0.164848		-89.837295
0.708485		0.164848		-86.363769
0.710909		0.164848		-83.040504
0.713333		0.164848		-79.860338
0.715758		0.164848		-76.816480
0.718182		0.164848		-73.902492
0.720606		0.164848		-71.112266
0.723030		0.164848		-68.440007
0.725455		0.164848		-65.880217
0.727879		0.164848		-63.427677
0.730303		0.164848		-61.077430
0.732727		0.164848		-58.824773
0.735152		0.164848		-56.665235
0.737576		0.164848		-54.594570
0.740000		0.164848		-52.608743
0.742424		0.164848		-50.703919
0.744848		0.164848		-48.876451
0.747273		0.164848		-47.122873
0.749697		0.164848		-45.439887
0.752121		0.164848		-43.824356
0.754545		0.164848		-42.273296
0.756970		0.164848		-40.783865
0.759394		0.164848		-39.353359
0.761818		0.164848		-37.979205
0.764242		0.164848		-36.658949
0.766667		0.164848		-35.390256
0.769091		0.164848		-34.170903
0.771515		0.164848		-32.998768
0.773939		0.164848		-31.871830
0.776364		0.164848		-30.788165
0.778788		0.164848		-29.745934
0.781212		0.164848		-28.743387
0.783636		0.164848		-27.778854
0.786061		0.164848		-26.850739
0.788485		0.164848		-25.957523
0.790909		0.164848		-25.097755
0.793333		0.164848		-24.270048
0.795758		0.164848		-23.473080
0.798182		0.164848		-22.705588
0.800606		0.164848		-21.966365
0.803030		0.164848		-21.254260
0.805455		0.164848		-20.568171
0.807879		0.164848		-19.907045
0.810303		0.164848		-19.269878
0.812727		0.164848		-18.655707
0.815152		0.164848		-18.063614
0.817576		0.164848		-17.492720
0.820000		0.164848		-16.942183
0.580000		0.192323		-944.398855
0.582424		0.192323		-896.401036
0.584848		0.192323		-851.110907
0.587273		0.192323		-808.361019
0.589697		0.192323		-767.995169
0.592121		0.192323		-729.867583
0.594545		0.192323		-693.842166
0.596970		0.192323		-659.791812
0.599394		0.192323		-627.597762
0.601818		0.192323		-597.149013
0.604242		0.192323		-568.341772
0.606667		0.192323		-541.078955
0.609091		0.192323		-515.269714
0.611515		0.192323		-490.829007
0.613939		0.192323		-467.677202
0.616364		0.192323		-445.739698
0.618788		0.192323		-424.946590
0.621212		0.192323		-405.232347
0.623636		0.192323		-386.535515
0.626061		0.192323		-368.798447
0.628485		0.192323		-351.967046
0.630909		0.192323		-335.990531
0.633333		0.192323		-320.821215
0.635758		0.192323		-306.414307
0.638182		0.192323		-292.727715
0.640606		0.192323		-279.721877
0.643030		0.192323		-267.359592
0.645455		0.192323		-255.605873
0.647879		0.192323		-244.427799
0.650303		0.192323		-233.794389
0.652727		0.192323		-223.676475
0.655152		0.192323		-214.046587
0.657576		0.192323		-204.878849
0.660000		0.192323		-196.148879
0.662424		0.192323		-187.833693
0.664848		0.192323		-179.911622
0.667273		0.192323		-172.362227
0.669697		0.192323		-165.166227
0.672121		0.192323		-158.305426
0.674545		0.192323		-151.762650
0.676970		0.192323		-145.521680
0.679394		0.192323		-139.567199
0.681818		0.192323		-133.884737
0.684242		0.192323		-128.460619
0.686667		0.192323		-123.281919
0.689091		0.192323		-118.336415
0.691515		0.192323		-113.612547
0.693939		0.192323		-109.099381
0.696364		0.192323		-104.786570
0.698788		0.192323		-100.664319
0.701212		0.192323		-96.723358
0.703636		0.192323		-92.954904
0.706061		0.192323		-89.350641
0.708485		0.192323		-85.902688
0.710909		0.192323		-82.603577
0.713333		0.192323		-79.446229
0.715758		0.192323		-76.423931
0.718182		0.192323		-73.530318
0.720606		0.192323		-70.759350
0.723030		0.192323		-68.105298
0.725455		0.192323		-65.562723
0.727879		0.192323		-63.126463
0.730303		0.192323		-60.791617
0.732727		0.192323		-58.553528
0.735152		0.192323		-56.407776
0.737576		0.192323		-54.350157
0.740000		0.192323		-52.376679
0.742424		0.192323		-50.483545
0.744848		0.192323		-48.667147
0.747273		0.192323		-46.924053
0.749697		0.192323		-45.250996
0.752121		0.192323		-43.644872
0.754545		0.192323		-42.102725
0.756970		0.192323		-40.621740
0.759394		0.192323		-39.199240
0.761818		0.192323		-37.832674
0.764242		0.192323		-36.519614
0.766667		0.192323		-35.257744
0.769091		0.192323		-34.044862
0.771515		0.192323		-32.878865
0.773939		0.192323		-31.757751
0.776364		0.192323		-30.679611
0.778788		0.192323		-29.642624
0.781212		0.192323		-28.645054
0.783636		0.192323		-27.685245
0.786061		0.192323		-26.761616
0.788485		0.192323		-25.872660
0.790909		0.192323		-25.016937
0.793333		0.192323		-24.193072
0.795758		0.192323		-23.399755
0.798182		0.192323		-22.635731
0.800606		0.192323		-21.899804
0.803030		0.192323		-21.190831
0.805455		0.192323		-20.507720
0.807879		0.192323		-19.849425
0.810303		0.192323		-19.214949
0.812727		0.192323		-18.603337
0.815152		0.192323		-18.013678
0.817576		0.192323		-17.445099
0.820000		0.192323		-16.896765
0.580000		0.219798		-932.360449
0.582424		0.219798		-885.123325
0.584848		0.219798		-840.542828
0.587273		0.219798		-798.455144
0.589697		0.219798		-758.707433
0.592121		0.219798		-721.157031
0.594545		0.219798		-685.670720
0.596970		0.219798		-652.124057
0.599394		0.219798		-620.400748
0.601818		0.219798		-590.392075
0.604242		0.219798		-561.996363
0.606667		0.219798		-535.118488
0.609091		0.219798		-509.669421
0.611515		0.219798		-485.565809
0.613939		0.219798		-462.729585
0.616364		0.219798		-441.087603
0.618788		0.219798		-420.571307
0.621212		0.219798		-401.116419
0.623636		0.219798		-382.662651
0.626061		0.219798		-365.153438
0.628485		0.219798		-348.535690
0.630909		0.219798		-332.759562
0.633333		0.219798		-317.778240
0.635758		0.219798		-303.547741
0.638182		0.219798		-290.026729
0.640606		0.219798		-277.176345
0.643030		0.219798		-264.960043
0.645455		0.219798		-253.343444
0.647879		0.219798		-242.294198
0.650303		0.219798		-231.781852
0.652727		0.219798		-221.777732
0.655152		0.219798		-212.254831
0.657576		0.219798		-203.187703
0.660000		0.219798		-194.552367
0.662424		0.219798		-186.326213
0.664848		0.219798		-178.487923
0.667273		0.219798		-171.017384
0.669697		0.219798		-163.895623
0.672121		0.219798		-157.104727
0.674545		0.219798		-150.627790
0.676970		0.219798		-144.448843
0.679394		0.219798		-138.552802
0.681818		0.219798		-132.925415
0.684242		0.219798		-127.553212
0.686667		0.219798		-122.423457
0.689091		0.219798		-117.524109
0.691515		0.219798		-112.843776
0.693939		0.219798		-108.371679
0.696364		0.219798		-104.097619
0.698788		0.219798		-100.011941
0.701212		0.219798		-96.105500
0.703636		0.219798		-92.369639
0.706061		0.219798		-88.796152
0.708485		0.219798		-85.377267
0.710909		0.219798		-82.105615
0.713333		0.219798		-78.974210
0.715758		0.219798		-75.976430
0.718182		0.219798		-73.105989
0.720606		0.219798		-70.356928
0.723030		0.219798		-67.723588
0.725455		0.219798		-65.200601
0.727879		0.219798		-62.782868
0.730303		0.219798		-60.465548
0.732727		0.219798		-58.244044
0.735152		0.219798		-56.113985
