100
100
T [fm^-1]		muB [fm^-1]		betabulk_dfce [fm^-4]
0.706061		0.109899		0.047367
0.708485		0.109899		0.048502
0.710909		0.109899		0.049660
0.713333		0.109899		0.050842
0.715758		0.109899		0.052048
0.718182		0.109899		0.053278
0.720606		0.109899		0.054533
0.723030		0.109899		0.055814
0.725455		0.109899		0.057120
0.727879		0.109899		0.058453
0.730303		0.109899		0.059812
0.732727		0.109899		0.061199
0.735152		0.109899		0.062613
0.737576		0.109899		0.064055
0.740000		0.109899		0.065526
0.742424		0.109899		0.067026
0.744848		0.109899		0.068556
0.747273		0.109899		0.070116
0.749697		0.109899		0.071706
0.752121		0.109899		0.073328
0.754545		0.109899		0.074981
0.756970		0.109899		0.076667
0.759394		0.109899		0.078385
0.761818		0.109899		0.080137
0.764242		0.109899		0.081922
0.766667		0.109899		0.083742
0.769091		0.109899		0.085597
0.771515		0.109899		0.087488
0.773939		0.109899		0.089415
0.776364		0.109899		0.091378
0.778788		0.109899		0.093379
0.781212		0.109899		0.095419
0.783636		0.109899		0.097496
0.786061		0.109899		0.099613
0.788485		0.109899		0.101770
0.790909		0.109899		0.103968
0.793333		0.109899		0.106207
0.795758		0.109899		0.108487
0.798182		0.109899		0.110811
0.800606		0.109899		0.113178
0.803030		0.109899		0.115588
0.805455		0.109899		0.118044
0.807879		0.109899		0.120544
0.810303		0.109899		0.123091
0.812727		0.109899		0.125685
0.815152		0.109899		0.128326
0.817576		0.109899		0.131016
0.820000		0.109899		0.133755
0.580000		0.137374		0.012091
0.582424		0.137374		0.012450
0.584848		0.137374		0.012817
0.587273		0.137374		0.013194
0.589697		0.137374		0.013580
0.592121		0.137374		0.013975
0.594545		0.137374		0.014380
0.596970		0.137374		0.014794
0.599394		0.137374		0.015219
0.601818		0.137374		0.015654
0.604242		0.137374		0.016099
0.606667		0.137374		0.016554
0.609091		0.137374		0.017021
0.611515		0.137374		0.017498
0.613939		0.137374		0.017987
0.616364		0.137374		0.018487
0.618788		0.137374		0.018999
0.621212		0.137374		0.019522
0.623636		0.137374		0.020058
0.626061		0.137374		0.020606
0.628485		0.137374		0.021166
0.630909		0.137374		0.021740
0.633333		0.137374		0.022326
0.635758		0.137374		0.022926
0.638182		0.137374		0.023539
0.640606		0.137374		0.024166
0.643030		0.137374		0.024807
0.645455		0.137374		0.025462
0.647879		0.137374		0.026132
0.650303		0.137374		0.026817
0.652727		0.137374		0.027517
0.655152		0.137374		0.028232
0.657576		0.137374		0.028963
0.660000		0.137374		0.029710
0.662424		0.137374		0.030473
0.664848		0.137374		0.031252
0.667273		0.137374		0.032049
0.669697		0.137374		0.032863
0.672121		0.137374		0.033694
0.674545		0.137374		0.034543
0.676970		0.137374		0.035410
0.679394		0.137374		0.036296
0.681818		0.137374		0.037201
0.684242		0.137374		0.038124
0.686667		0.137374		0.039067
0.689091		0.137374		0.040030
0.691515		0.137374		0.041014
0.693939		0.137374		0.042017
0.696364		0.137374		0.043042
0.698788		0.137374		0.044088
0.701212		0.137374		0.045156
0.703636		0.137374		0.046246
0.706061		0.137374		0.047358
0.708485		0.137374		0.048493
0.710909		0.137374		0.049652
0.713333		0.137374		0.050834
0.715758		0.137374		0.052040
0.718182		0.137374		0.053271
0.720606		0.137374		0.054526
0.723030		0.137374		0.055807
0.725455		0.137374		0.057114
0.727879		0.137374		0.058447
0.730303		0.137374		0.059807
0.732727		0.137374		0.061195
0.735152		0.137374		0.062609
0.737576		0.137374		0.064052
0.740000		0.137374		0.065524
0.742424		0.137374		0.067025
0.744848		0.137374		0.068555
0.747273		0.137374		0.070116
0.749697		0.137374		0.071707
0.752121		0.137374		0.073330
0.754545		0.137374		0.074984
0.756970		0.137374		0.076670
0.759394		0.137374		0.078389
0.761818		0.137374		0.080142
0.764242		0.137374		0.081928
0.766667		0.137374		0.083749
0.769091		0.137374		0.085605
0.771515		0.137374		0.087497
0.773939		0.137374		0.089425
0.776364		0.137374		0.091390
0.778788		0.137374		0.093392
0.781212		0.137374		0.095432
0.783636		0.137374		0.097511
0.786061		0.137374		0.099630
0.788485		0.137374		0.101788
0.790909		0.137374		0.103987
0.793333		0.137374		0.106227
0.795758		0.137374		0.108509
0.798182		0.137374		0.110834
0.800606		0.137374		0.113202
0.803030		0.137374		0.115615
0.805455		0.137374		0.118072
0.807879		0.137374		0.120574
0.810303		0.137374		0.123123
0.812727		0.137374		0.125718
0.815152		0.137374		0.128361
0.817576		0.137374		0.131053
0.820000		0.137374		0.133794
0.580000		0.164848		0.012079
0.582424		0.164848		0.012437
0.584848		0.164848		0.012805
0.587273		0.164848		0.013181
0.589697		0.164848		0.013567
0.592121		0.164848		0.013962
0.594545		0.164848		0.014366
0.596970		0.164848		0.014781
0.599394		0.164848		0.015205
0.601818		0.164848		0.015640
0.604242		0.164848		0.016085
0.606667		0.164848		0.016540
0.609091		0.164848		0.017007
0.611515		0.164848		0.017484
0.613939		0.164848		0.017972
0.616364		0.164848		0.018472
0.618788		0.164848		0.018984
0.621212		0.164848		0.019507
0.623636		0.164848		0.020043
0.626061		0.164848		0.020591
0.628485		0.164848		0.021151
0.630909		0.164848		0.021724
0.633333		0.164848		0.022311
0.635758		0.164848		0.022910
0.638182		0.164848		0.023523
0.640606		0.164848		0.024150
0.643030		0.164848		0.024791
0.645455		0.164848		0.025447
0.647879		0.164848		0.026116
0.650303		0.164848		0.026801
0.652727		0.164848		0.027501
0.655152		0.164848		0.028216
0.657576		0.164848		0.028947
0.660000		0.164848		0.029694
0.662424		0.164848		0.030457
0.664848		0.164848		0.031237
0.667273		0.164848		0.032034
0.669697		0.164848		0.032848
0.672121		0.164848		0.033679
0.674545		0.164848		0.034528
0.676970		0.164848		0.035396
0.679394		0.164848		0.036282
0.681818		0.164848		0.037186
0.684242		0.164848		0.038110
0.686667		0.164848		0.039054
0.689091		0.164848		0.040017
0.691515		0.164848		0.041000
0.693939		0.164848		0.042005
0.696364		0.164848		0.043030
0.698788		0.164848		0.044076
0.701212		0.164848		0.045144
0.703636		0.164848		0.046234
0.706061		0.164848		0.047347
0.708485		0.164848		0.048483
0.710909		0.164848		0.049641
0.713333		0.164848		0.050824
0.715758		0.164848		0.052031
0.718182		0.164848		0.053262
0.720606		0.164848		0.054518
0.723030		0.164848		0.055800
0.725455		0.164848		0.057108
0.727879		0.164848		0.058441
0.730303		0.164848		0.059802
0.732727		0.164848		0.061190
0.735152		0.164848		0.062606
0.737576		0.164848		0.064049
0.740000		0.164848		0.065522
0.742424		0.164848		0.067024
0.744848		0.164848		0.068555
0.747273		0.164848		0.070116
0.749697		0.164848		0.071709
0.752121		0.164848		0.073332
0.754545		0.164848		0.074987
0.756970		0.164848		0.076675
0.759394		0.164848		0.078395
0.761818		0.164848		0.080149
0.764242		0.164848		0.081936
0.766667		0.164848		0.083759
0.769091		0.164848		0.085616
0.771515		0.164848		0.087509
0.773939		0.164848		0.089438
0.776364		0.164848		0.091404
0.778788		0.164848		0.093408
0.781212		0.164848		0.095450
0.783636		0.164848		0.097530
0.786061		0.164848		0.099650
0.788485		0.164848		0.101810
0.790909		0.164848		0.104011
0.793333		0.164848		0.106253
