100
100
T [fm^-1]		muB [fm^-1]		betapi_dfce [fm^-4]
0.647879		0.109899		0.062247
0.650303		0.109899		0.063723
0.652727		0.109899		0.065233
0.655152		0.109899		0.066776
0.657576		0.109899		0.068354
0.660000		0.109899		0.069967
0.662424		0.109899		0.071616
0.664848		0.109899		0.073302
0.667273		0.109899		0.075025
0.669697		0.109899		0.076787
0.672121		0.109899		0.078587
0.674545		0.109899		0.080428
0.676970		0.109899		0.082310
0.679394		0.109899		0.084233
0.681818		0.109899		0.086200
0.684242		0.109899		0.088209
0.686667		0.109899		0.090263
0.689091		0.109899		0.092362
0.691515		0.109899		0.094508
0.693939		0.109899		0.096701
0.696364		0.109899		0.098942
0.698788		0.109899		0.101232
0.701212		0.109899		0.103573
0.703636		0.109899		0.105965
0.706061		0.109899		0.108409
0.708485		0.109899		0.110907
0.710909		0.109899		0.113459
0.713333		0.109899		0.116067
0.715758		0.109899		0.118732
0.718182		0.109899		0.121455
0.720606		0.109899		0.124237
0.723030		0.109899		0.127079
0.725455		0.109899		0.129983
0.727879		0.109899		0.132950
0.730303		0.109899		0.135981
0.732727		0.109899		0.139077
0.735152		0.109899		0.142240
0.737576		0.109899		0.145472
0.740000		0.109899		0.148772
0.742424		0.109899		0.152144
0.744848		0.109899		0.155588
0.747273		0.109899		0.159105
0.749697		0.109899		0.162698
0.752121		0.109899		0.166367
0.754545		0.109899		0.170114
0.756970		0.109899		0.173941
0.759394		0.109899		0.177849
0.761818		0.109899		0.181840
0.764242		0.109899		0.185916
0.766667		0.109899		0.190078
0.769091		0.109899		0.194327
0.771515		0.109899		0.198666
0.773939		0.109899		0.203096
0.776364		0.109899		0.207619
0.778788		0.109899		0.212237
0.781212		0.109899		0.216951
0.783636		0.109899		0.221764
0.786061		0.109899		0.226677
0.788485		0.109899		0.231692
0.790909		0.109899		0.236811
0.793333		0.109899		0.242036
0.795758		0.109899		0.247369
0.798182		0.109899		0.252813
0.800606		0.109899		0.258368
0.803030		0.109899		0.264038
0.805455		0.109899		0.269824
0.807879		0.109899		0.275729
0.810303		0.109899		0.281754
0.812727		0.109899		0.287902
0.815152		0.109899		0.294176
0.817576		0.109899		0.300576
0.820000		0.109899		0.307107
0.580000		0.137374		0.031858
0.582424		0.137374		0.032647
0.584848		0.137374		0.033454
0.587273		0.137374		0.034280
0.589697		0.137374		0.035124
0.592121		0.137374		0.035988
0.594545		0.137374		0.036871
0.596970		0.137374		0.037774
0.599394		0.137374		0.038698
0.601818		0.137374		0.039643
0.604242		0.137374		0.040610
0.606667		0.137374		0.041598
0.609091		0.137374		0.042609
0.611515		0.137374		0.043643
0.613939		0.137374		0.044701
0.616364		0.137374		0.045782
0.618788		0.137374		0.046888
0.621212		0.137374		0.048019
0.623636		0.137374		0.049176
0.626061		0.137374		0.050358
0.628485		0.137374		0.051568
0.630909		0.137374		0.052804
0.633333		0.137374		0.054069
0.635758		0.137374		0.055362
0.638182		0.137374		0.056684
0.640606		0.137374		0.058036
0.643030		0.137374		0.059418
0.645455		0.137374		0.060832
0.647879		0.137374		0.062277
0.650303		0.137374		0.063754
0.652727		0.137374		0.065265
0.655152		0.137374		0.066810
0.657576		0.137374		0.068389
0.660000		0.137374		0.070003
0.662424		0.137374		0.071653
0.664848		0.137374		0.073340
0.667273		0.137374		0.075065
0.669697		0.137374		0.076828
0.672121		0.137374		0.078631
0.674545		0.137374		0.080473
0.676970		0.137374		0.082356
0.679394		0.137374		0.084281
