100
100
T [fm^-1]		muB [fm^-1]		F_dfce [fm^-1]
0.676970		0.192323		-0.112679
0.679394		0.192323		-0.112786
0.681818		0.192323		-0.112894
0.684242		0.192323		-0.113004
0.686667		0.192323		-0.113116
0.689091		0.192323		-0.113229
0.691515		0.192323		-0.113345
0.693939		0.192323		-0.113462
0.696364		0.192323		-0.113581
0.698788		0.192323		-0.113702
0.701212		0.192323		-0.113825
0.703636		0.192323		-0.113950
0.706061		0.192323		-0.114076
0.708485		0.192323		-0.114205
0.710909		0.192323		-0.114336
0.713333		0.192323		-0.114469
0.715758		0.192323		-0.114603
0.718182		0.192323		-0.114740
0.720606		0.192323		-0.114879
0.723030		0.192323		-0.115020
0.725455		0.192323		-0.115163
0.727879		0.192323		-0.115309
0.730303		0.192323		-0.115456
0.732727		0.192323		-0.115606
0.735152		0.192323		-0.115758
0.737576		0.192323		-0.115912
0.740000		0.192323		-0.116068
0.742424		0.192323		-0.116226
0.744848		0.192323		-0.116387
0.747273		0.192323		-0.116550
0.749697		0.192323		-0.116715
0.752121		0.192323		-0.116882
0.754545		0.192323		-0.117052
0.756970		0.192323		-0.117224
0.759394		0.192323		-0.117398
0.761818		0.192323		-0.117575
0.764242		0.192323		-0.117754
0.766667		0.192323		-0.117935
0.769091		0.192323		-0.118118
0.771515		0.192323		-0.118304
0.773939		0.192323		-0.118492
0.776364		0.192323		-0.118682
0.778788		0.192323		-0.118875
0.781212		0.192323		-0.119069
0.783636		0.192323		-0.119267
0.786061		0.192323		-0.119466
0.788485		0.192323		-0.119668
0.790909		0.192323		-0.119872
0.793333		0.192323		-0.120078
0.795758		0.192323		-0.120287
0.798182		0.192323		-0.120498
0.800606		0.192323		-0.120711
0.803030		0.192323		-0.120927
0.805455		0.192323		-0.121145
0.807879		0.192323		-0.121365
0.810303		0.192323		-0.121587
0.812727		0.192323		-0.121812
0.815152		0.192323		-0.122039
0.817576		0.192323		-0.122268
0.820000		0.192323		-0.122500
0.580000		0.219798		-0.109292
0.582424		0.219798		-0.109378
0.584848		0.219798		-0.109464
0.587273		0.219798		-0.109549
0.589697		0.219798		-0.109632
0.592121		0.219798		-0.109716
0.594545		0.219798		-0.109799
0.596970		0.219798		-0.109881
0.599394		0.219798		-0.109963
0.601818		0.219798		-0.110044
0.604242		0.219798		-0.110126
0.606667		0.219798		-0.110207
0.609091		0.219798		-0.110288
0.611515		0.219798		-0.110369
0.613939		0.219798		-0.110450
0.616364		0.219798		-0.110531
0.618788		0.219798		-0.110613
0.621212		0.219798		-0.110695
0.623636		0.219798		-0.110777
0.626061		0.219798		-0.110859
0.628485		0.219798		-0.110943
0.630909		0.219798		-0.111026
0.633333		0.219798		-0.111111
0.635758		0.219798		-0.111196
0.638182		0.219798		-0.111281
0.640606		0.219798		-0.111368
0.643030		0.219798		-0.111455
0.645455		0.219798		-0.111544
0.647879		0.219798		-0.111633
0.650303		0.219798		-0.111724
0.652727		0.219798		-0.111815
0.655152		0.219798		-0.111908
0.657576		0.219798		-0.112002
0.660000		0.219798		-0.112097
0.662424		0.219798		-0.112193
0.664848		0.219798		-0.112291
0.667273		0.219798		-0.112390
0.669697		0.219798		-0.112491
0.672121		0.219798		-0.112593
0.674545		0.219798		-0.112697
0.676970		0.219798		-0.112802
0.679394		0.219798		-0.112909
0.681818		0.219798		-0.113017
0.684242		0.219798		-0.113127
0.686667		0.219798		-0.113239
0.689091		0.219798		-0.113353
0.691515		0.219798		-0.113468
0.693939		0.219798		-0.113585
0.696364		0.219798		-0.113704
0.698788		0.219798		-0.113825
0.701212		0.219798		-0.113948
0.703636		0.219798		-0.114073
0.706061		0.219798		-0.114199
0.708485		0.219798		-0.114328
0.710909		0.219798		-0.114459
0.713333		0.219798		-0.114591
0.715758		0.219798		-0.114726
0.718182		0.219798		-0.114863
0.720606		0.219798		-0.115001
0.723030		0.219798		-0.115142
0.725455		0.219798		-0.115285
0.727879		0.219798		-0.115430
0.730303		0.219798		-0.115578
0.732727		0.219798		-0.115727
0.735152		0.219798		-0.115879
