101
81
T [GeV]		muB [GeV]		c3_T4 [fm^3/GeV * GeV^4]
0.128000		0.080000		-0.299641
0.129000		0.080000		-0.282566
0.130000		0.080000		-0.266650
0.131000		0.080000		-0.251805
0.132000		0.080000		-0.237946
0.133000		0.080000		-0.224998
0.134000		0.080000		-0.212892
0.135000		0.080000		-0.201565
0.136000		0.080000		-0.190959
0.137000		0.080000		-0.181021
0.138000		0.080000		-0.171702
0.139000		0.080000		-0.162959
0.140000		0.080000		-0.154749
0.141000		0.080000		-0.147035
0.142000		0.080000		-0.139783
0.143000		0.080000		-0.132961
0.144000		0.080000		-0.126539
0.145000		0.080000		-0.120490
0.146000		0.080000		-0.114789
0.147000		0.080000		-0.109413
0.148000		0.080000		-0.104341
0.149000		0.080000		-0.099553
0.150000		0.080000		-0.095029
0.151000		0.080000		-0.090754
0.152000		0.080000		-0.086712
0.153000		0.080000		-0.082888
0.154000		0.080000		-0.079268
0.155000		0.080000		-0.075839
