101
81
T [GeV]		muB [GeV]		betaV_over_T3 [fm^-3 / GeV^3]
0.149000		0.050000		0.911136
0.150000		0.050000		0.958473
0.151000		0.050000		1.007732
0.152000		0.050000		1.058969
0.153000		0.050000		1.112240
0.154000		0.050000		1.167601
0.155000		0.050000		1.225110
0.156000		0.050000		1.284823
0.157000		0.050000		1.346799
0.158000		0.050000		1.411099
0.159000		0.050000		1.477781
0.160000		0.050000		1.546907
0.161000		0.050000		1.618538
0.162000		0.050000		1.692735
0.163000		0.050000		1.769562
0.164000		0.050000		1.849082
0.165000		0.050000		1.931358
0.166000		0.050000		2.016454
0.167000		0.050000		2.104437
0.168000		0.050000		2.195371
0.169000		0.050000		2.289323
0.170000		0.050000		2.386359
0.171000		0.050000		2.486546
0.172000		0.050000		2.589951
0.173000		0.050000		2.696644
0.174000		0.050000		2.806691
0.175000		0.050000		2.920163
0.176000		0.050000		3.037127
0.177000		0.050000		3.157655
0.178000		0.050000		3.281816
0.179000		0.050000		3.409680
0.180000		0.050000		3.541318
0.181000		0.050000		3.676801
0.182000		0.050000		3.816200
0.183000		0.050000		3.959587
0.184000		0.050000		4.107033
0.185000		0.050000		4.258611
0.186000		0.050000		4.414392
0.187000		0.050000		4.574449
0.188000		0.050000		4.738854
0.189000		0.050000		4.907681
0.190000		0.050000		5.081001
0.191000		0.050000		5.258887
0.192000		0.050000		5.441413
0.193000		0.050000		5.628651
0.194000		0.050000		5.820674
0.195000		0.050000		6.017555
0.196000		0.050000		6.219368
0.197000		0.050000		6.426184
0.198000		0.050000		6.638077
0.199000		0.050000		6.855120
0.200000		0.050000		7.077386
0.100000		0.060000		0.030883
0.101000		0.060000		0.034001
0.102000		0.060000		0.037374
0.103000		0.060000		0.041016
0.104000		0.060000		0.044944
0.105000		0.060000		0.049176
0.106000		0.060000		0.053729
0.107000		0.060000		0.058620
0.108000		0.060000		0.063870
0.109000		0.060000		0.069498
0.110000		0.060000		0.075523
0.111000		0.060000		0.081968
0.112000		0.060000		0.088854
0.113000		0.060000		0.096203
0.114000		0.060000		0.104039
0.115000		0.060000		0.112386
0.116000		0.060000		0.121269
0.117000		0.060000		0.130712
0.118000		0.060000		0.140743
0.119000		0.060000		0.151389
0.120000		0.060000		0.162677
0.121000		0.060000		0.174636
0.122000		0.060000		0.187296
0.123000		0.060000		0.200687
0.124000		0.060000		0.214840
0.125000		0.060000		0.229787
0.126000		0.060000		0.245560
0.127000		0.060000		0.262195
0.128000		0.060000		0.279724
0.129000		0.060000		0.298183
0.130000		0.060000		0.317609
0.131000		0.060000		0.338038
0.132000		0.060000		0.359508
0.133000		0.060000		0.382058
0.134000		0.060000		0.405727
0.135000		0.060000		0.430557
0.136000		0.060000		0.456587
0.137000		0.060000		0.483861
0.138000		0.060000		0.512421
0.139000		0.060000		0.542310
0.140000		0.060000		0.573575
0.141000		0.060000		0.606260
0.142000		0.060000		0.640411
0.143000		0.060000		0.676077
0.144000		0.060000		0.713304
0.145000		0.060000		0.752142
0.146000		0.060000		0.792640
0.147000		0.060000		0.834850
0.148000		0.060000		0.878822
0.149000		0.060000		0.924608
0.150000		0.060000		0.972262
0.151000		0.060000		1.021837
0.152000		0.060000		1.073388
0.153000		0.060000		1.126969
0.154000		0.060000		1.182638
0.155000		0.060000		1.240450
0.156000		0.060000		1.300464
0.157000		0.060000		1.362737
0.158000		0.060000		1.427328
0.159000		0.060000		1.494298
0.160000		0.060000		1.563706
0.161000		0.060000		1.635613
0.162000		0.060000		1.710081
0.163000		0.060000		1.787173
0.164000		0.060000		1.866951
0.165000		0.060000		1.949478
0.166000		0.060000		2.034819
0.167000		0.060000		2.123038
0.168000		0.060000		2.214201
0.169000		0.060000		2.308374
0.170000		0.060000		2.405622
0.171000		0.060000		2.506012
0.172000		0.060000		2.609612
0.173000		0.060000		2.716490
0.174000		0.060000		2.826712
0.175000		0.060000		2.940349
0.176000		0.060000		3.057469
0.177000		0.060000		3.178141
0.178000		0.060000		3.302436
0.179000		0.060000		3.430423
0.180000		0.060000		3.562172
0.181000		0.060000		3.697755
0.182000		0.060000		3.837241
0.183000		0.060000		3.980704
0.184000		0.060000		4.128214
0.185000		0.060000		4.279842
0.186000		0.060000		4.435661
0.187000		0.060000		4.595743
0.188000		0.060000		4.760160
0.189000		0.060000		4.928984
0.190000		0.060000		5.102288
0.191000		0.060000		5.280145
0.192000		0.060000		5.462627
0.193000		0.060000		5.649807
0.194000		0.060000		5.841757
0.195000		0.060000		6.038551
0.196000		0.060000		6.240262
0.197000		0.060000		6.446961
0.198000		0.060000		6.658722
0.199000		0.060000		6.875618
0.200000		0.060000		7.097720
0.100000		0.070000		0.032609
0.101000		0.070000		0.035861
0.102000		0.070000		0.039374
0.103000		0.070000		0.043163
0.104000		0.070000		0.047247
0.105000		0.070000		0.051640
0.106000		0.070000		0.056362
0.107000		0.070000		0.061431
0.108000		0.070000		0.066865
0.109000		0.070000		0.072685
0.110000		0.070000		0.078911
0.111000		0.070000		0.085563
0.112000		0.070000		0.092664
0.113000		0.070000		0.100236
0.114000		0.070000		0.108303
0.115000		0.070000		0.116888
0.116000		0.070000		0.126017
0.117000		0.070000		0.135714
0.118000		0.070000		0.146006
0.119000		0.070000		0.156920
0.120000		0.070000		0.168483
0.121000		0.070000		0.180725
0.122000		0.070000		0.193674
0.123000		0.070000		0.207362
0.124000		0.070000		0.221817
0.125000		0.070000		0.237074
0.126000		0.070000		0.253163
0.127000		0.070000		0.270118
0.128000		0.070000		0.287975
0.129000		0.070000		0.306767
0.130000		0.070000		0.326530
0.131000		0.070000		0.347302
0.132000		0.070000		0.369119
0.133000		0.070000		0.392021
0.134000		0.070000		0.416046
0.135000		0.070000		0.441235
0.136000		0.070000		0.467629
0.137000		0.070000		0.495268
0.138000		0.070000		0.524197
0.139000		0.070000		0.554457
0.140000		0.070000		0.586095
0.141000		0.070000		0.619155
0.142000		0.070000		0.653682
0.143000		0.070000		0.689724
0.144000		0.070000		0.727328
0.145000		0.070000		0.766543
0.146000		0.070000		0.807419
0.147000		0.070000		0.850005
0.148000		0.070000		0.894351
0.149000		0.070000		0.940511
0.150000		0.070000		0.988537
0.151000		0.070000		1.038481
0.152000		0.070000		1.090398
0.153000		0.070000		1.144343
0.154000		0.070000		1.200372
0.155000		0.070000		1.258540
0.156000		0.070000		1.318905
0.157000		0.070000		1.381524
0.158000		0.070000		1.446457
0.159000		0.070000		1.513763
0.160000		0.070000		1.583500
0.161000		0.070000		1.655731
0.162000		0.070000		1.730516
0.163000		0.070000		1.807917
0.164000		0.070000		1.887996
0.165000		0.070000		1.970817
0.166000		0.070000		2.056443
0.167000		0.070000		2.144939
0.168000		0.070000		2.236370
0.169000		0.070000		2.330800
0.170000		0.070000		2.428296
0.171000		0.070000		2.528924
0.172000		0.070000		2.632751
0.173000		0.070000		2.739845
0.174000		0.070000		2.850273
0.175000		0.070000		2.964103
0.176000		0.070000		3.081404
0.177000		0.070000		3.202245
0.178000		0.070000		3.326696
0.179000		0.070000		3.454826
0.180000		0.070000		3.586705
0.181000		0.070000		3.722404
0.182000		0.070000		3.861994
0.183000		0.070000		4.005545
0.184000		0.070000		4.153128
0.185000		0.070000		4.304816
0.186000		0.070000		4.460679
0.187000		0.070000		4.620790
0.188000		0.070000		4.785220
0.189000		0.070000		4.954042
0.190000		0.070000		5.127328
0.191000		0.070000		5.305150
0.192000		0.070000		5.487581
0.193000		0.070000		5.674693
0.194000		0.070000		5.866559
0.195000		0.070000		6.063252
0.196000		0.070000		6.264843
