101
81
T [GeV]		muB [GeV]		F_over_T [fm^-1 / GeV]
0.145000		0.690000		-0.178493
0.146000		0.690000		-0.178583
0.147000		0.690000		-0.178688
0.148000		0.690000		-0.178808
0.149000		0.690000		-0.178942
0.150000		0.690000		-0.179091
0.151000		0.690000		-0.179254
0.152000		0.690000		-0.179430
0.153000		0.690000		-0.179619
0.154000		0.690000		-0.179820
0.155000		0.690000		-0.180034
0.156000		0.690000		-0.180259
0.157000		0.690000		-0.180496
0.158000		0.690000		-0.180744
0.159000		0.690000		-0.181002
0.160000		0.690000		-0.181270
0.161000		0.690000		-0.181547
0.162000		0.690000		-0.181835
0.163000		0.690000		-0.182131
0.164000		0.690000		-0.182435
0.165000		0.690000		-0.182748
0.166000		0.690000		-0.183069
0.167000		0.690000		-0.183398
0.168000		0.690000		-0.183733
0.169000		0.690000		-0.184076
0.170000		0.690000		-0.184425
0.171000		0.690000		-0.184780
0.172000		0.690000		-0.185141
0.173000		0.690000		-0.185507
0.174000		0.690000		-0.185879
0.175000		0.690000		-0.186256
0.176000		0.690000		-0.186637
0.177000		0.690000		-0.187023
0.178000		0.690000		-0.187413
0.179000		0.690000		-0.187806
0.180000		0.690000		-0.188204
0.181000		0.690000		-0.188604
0.182000		0.690000		-0.189008
0.183000		0.690000		-0.189414
0.184000		0.690000		-0.189823
0.185000		0.690000		-0.190234
0.186000		0.690000		-0.190647
0.187000		0.690000		-0.191062
0.188000		0.690000		-0.191479
0.189000		0.690000		-0.191897
0.190000		0.690000		-0.192316
0.191000		0.690000		-0.192736
0.192000		0.690000		-0.193157
0.193000		0.690000		-0.193579
0.194000		0.690000		-0.194000
0.195000		0.690000		-0.194423
0.196000		0.690000		-0.194845
0.197000		0.690000		-0.195267
0.198000		0.690000		-0.195689
0.199000		0.690000		-0.196110
0.200000		0.690000		-0.196531
0.100000		0.700000		-0.196260
0.101000		0.700000		-0.195274
0.102000		0.700000		-0.194317
0.103000		0.700000		-0.193388
0.104000		0.700000		-0.192489
0.105000		0.700000		-0.191618
0.106000		0.700000		-0.190777
0.107000		0.700000		-0.189964
0.108000		0.700000		-0.189181
0.109000		0.700000		-0.188426
0.110000		0.700000		-0.187700
0.111000		0.700000		-0.187002
0.112000		0.700000		-0.186333
0.113000		0.700000		-0.185693
0.114000		0.700000		-0.185081
0.115000		0.700000		-0.184496
0.116000		0.700000		-0.183940
0.117000		0.700000		-0.183411
0.118000		0.700000		-0.182909
0.119000		0.700000		-0.182434
0.120000		0.700000		-0.181986
0.121000		0.700000		-0.181565
0.122000		0.700000		-0.181169
0.123000		0.700000		-0.180799
0.124000		0.700000		-0.180455
0.125000		0.700000		-0.180136
0.126000		0.700000		-0.179841
0.127000		0.700000		-0.179570
0.128000		0.700000		-0.179324
0.129000		0.700000		-0.179100
0.130000		0.700000		-0.178900
0.131000		0.700000		-0.178723
0.132000		0.700000		-0.178568
0.133000		0.700000		-0.178434
0.134000		0.700000		-0.178322
0.135000		0.700000		-0.178231
0.136000		0.700000		-0.178160
0.137000		0.700000		-0.178109
0.138000		0.700000		-0.178078
0.139000		0.700000		-0.178065
0.140000		0.700000		-0.178072
0.141000		0.700000		-0.178096
0.142000		0.700000		-0.178139
0.143000		0.700000		-0.178198
0.144000		0.700000		-0.178275
0.145000		0.700000		-0.178368
0.146000		0.700000		-0.178477
0.147000		0.700000		-0.178601
0.148000		0.700000		-0.178740
0.149000		0.700000		-0.178894
0.150000		0.700000		-0.179062
0.151000		0.700000		-0.179244
0.152000		0.700000		-0.179439
0.153000		0.700000		-0.179647
0.154000		0.700000		-0.179868
0.155000		0.700000		-0.180100
0.156000		0.700000		-0.180345
0.157000		0.700000		-0.180600
0.158000		0.700000		-0.180866
