101
81
T [GeV]		muB [GeV]		betaV_over_T3 [fm^-3 / GeV^3]
0.152000		0.050000		1.060319
0.153000		0.050000		1.113498
0.154000		0.050000		1.168742
0.155000		0.050000		1.226107
0.156000		0.050000		1.285646
0.157000		0.050000		1.347417
0.158000		0.050000		1.411475
0.159000		0.050000		1.477877
0.160000		0.050000		1.546681
0.161000		0.050000		1.617945
0.162000		0.050000		1.691727
0.163000		0.050000		1.768085
0.164000		0.050000		1.847081
0.165000		0.050000		1.928772
0.166000		0.050000		2.013220
0.167000		0.050000		2.100484
0.168000		0.050000		2.190627
0.169000		0.050000		2.283708
0.170000		0.050000		2.379790
0.171000		0.050000		2.478935
0.172000		0.050000		2.581205
0.173000		0.050000		2.686663
0.174000		0.050000		2.795370
0.175000		0.050000		2.907391
0.176000		0.050000		3.022788
0.177000		0.050000		3.141624
0.178000		0.050000		3.263964
0.179000		0.050000		3.389871
0.180000		0.050000		3.519408
0.181000		0.050000		3.652641
0.182000		0.050000		3.789631
0.183000		0.050000		3.930445
0.184000		0.050000		4.075145
0.185000		0.050000		4.223796
0.186000		0.050000		4.376462
0.187000		0.050000		4.533207
0.188000		0.050000		4.694095
0.189000		0.050000		4.859190
0.190000		0.050000		5.028557
0.191000		0.050000		5.202258
0.192000		0.050000		5.380357
0.193000		0.050000		5.562919
0.194000		0.050000		5.750006
0.195000		0.050000		5.941682
0.196000		0.050000		6.138010
0.197000		0.050000		6.339052
0.198000		0.050000		6.544871
0.199000		0.050000		6.755529
0.200000		0.050000		6.971089
0.100000		0.060000		0.030779
0.101000		0.060000		0.033895
0.102000		0.060000		0.037266
0.103000		0.060000		0.040908
0.104000		0.060000		0.044837
0.105000		0.060000		0.049070
0.106000		0.060000		0.053625
0.107000		0.060000		0.058521
0.108000		0.060000		0.063776
0.109000		0.060000		0.069410
0.110000		0.060000		0.075444
0.111000		0.060000		0.081900
0.112000		0.060000		0.088798
0.113000		0.060000		0.096162
0.114000		0.060000		0.104015
0.115000		0.060000		0.112381
0.116000		0.060000		0.121285
0.117000		0.060000		0.130753
0.118000		0.060000		0.140811
0.119000		0.060000		0.151487
0.120000		0.060000		0.162808
0.121000		0.060000		0.174803
0.122000		0.060000		0.187502
0.123000		0.060000		0.200935
0.124000		0.060000		0.215133
0.125000		0.060000		0.230128
0.126000		0.060000		0.245954
0.127000		0.060000		0.262642
0.128000		0.060000		0.280229
0.129000		0.060000		0.298748
0.130000		0.060000		0.318237
0.131000		0.060000		0.338731
0.132000		0.060000		0.360268
0.133000		0.060000		0.382887
0.134000		0.060000		0.406627
0.135000		0.060000		0.431528
0.136000		0.060000		0.457630
0.137000		0.060000		0.484976
0.138000		0.060000		0.513607
0.139000		0.060000		0.543567
0.140000		0.060000		0.574900
0.141000		0.060000		0.607650
0.142000		0.060000		0.641862
0.143000		0.060000		0.677584
0.144000		0.060000		0.714862
0.145000		0.060000		0.753743
0.146000		0.060000		0.794277
0.147000		0.060000		0.836512
0.148000		0.060000		0.880497
0.149000		0.060000		0.926285
0.150000		0.060000		0.973925
0.151000		0.060000		1.023469
0.152000		0.060000		1.074971
0.153000		0.060000		1.128483
0.154000		0.060000		1.184059
0.155000		0.060000		1.241754
0.156000		0.060000		1.301622
0.157000		0.060000		1.363720
0.158000		0.060000		1.428102
0.159000		0.060000		1.494826
0.160000		0.060000		1.563949
0.161000		0.060000		1.635529
0.162000		0.060000		1.709624
0.163000		0.060000		1.786292
0.164000		0.060000		1.865593
0.165000		0.060000		1.947587
0.166000		0.060000		2.032332
0.167000		0.060000		2.119890
0.168000		0.060000		2.210321
0.169000		0.060000		2.303687
0.170000		0.060000		2.400048
0.171000		0.060000		2.499468
0.172000		0.060000		2.602006
0.173000		0.060000		2.707727
0.174000		0.060000		2.816692
0.175000		0.060000		2.928964
0.176000		0.060000		3.044607
0.177000		0.060000		3.163683
0.178000		0.060000		3.286256
0.179000		0.060000		3.412389
0.180000		0.060000		3.542146
0.181000		0.060000		3.675591
0.182000		0.060000		3.812788
0.183000		0.060000		3.953801
0.184000		0.060000		4.098692
0.185000		0.060000		4.247528
0.186000		0.060000		4.400371
0.187000		0.060000		4.557285
0.188000		0.060000		4.718334
0.189000		0.060000		4.883583
0.190000		0.060000		5.053095
0.191000		0.060000		5.226934
0.192000		0.060000		5.405163
0.193000		0.060000		5.587846
0.194000		0.060000		5.775046
0.195000		0.060000		5.966827
0.196000		0.060000		6.163250
0.197000		0.060000		6.364380
0.198000		0.060000		6.570278
0.199000		0.060000		6.781007
0.200000		0.060000		6.996628
0.100000		0.070000		0.032500
0.101000		0.070000		0.035749
0.102000		0.070000		0.039260
0.103000		0.070000		0.043049
0.104000		0.070000		0.047133
0.105000		0.070000		0.051528
0.106000		0.070000		0.056253
0.107000		0.070000		0.061325
0.108000		0.070000		0.066765
0.109000		0.070000		0.072592
0.110000		0.070000		0.078826
0.111000		0.070000		0.085490
0.112000		0.070000		0.092603
0.113000		0.070000		0.100191
0.114000		0.070000		0.108275
0.115000		0.070000		0.116880
0.116000		0.070000		0.126031
0.117000		0.070000		0.135753
0.118000		0.070000		0.146073
0.119000		0.070000		0.157018
0.120000		0.070000		0.168616
0.121000		0.070000		0.180895
0.122000		0.070000		0.193885
0.123000		0.070000		0.207615
0.124000		0.070000		0.222118
0.125000		0.070000		0.237425
0.126000		0.070000		0.253567
0.127000		0.070000		0.270580
0.128000		0.070000		0.288496
0.129000		0.070000		0.307351
0.130000		0.070000		0.327180
0.131000		0.070000		0.348021
0.132000		0.070000		0.369909
0.133000		0.070000		0.392884
0.134000		0.070000		0.416985
0.135000		0.070000		0.442251
0.136000		0.070000		0.468722
0.137000		0.070000		0.496440
0.138000		0.070000		0.525447
0.139000		0.070000		0.555786
0.140000		0.070000		0.587501
0.141000		0.070000		0.620635
0.142000		0.070000		0.655234
0.143000		0.070000		0.691345
0.144000		0.070000		0.729012
0.145000		0.070000		0.768285
0.146000		0.070000		0.809211
0.147000		0.070000		0.851838
0.148000		0.070000		0.896217
0.149000		0.070000		0.942398
0.150000		0.070000		0.990431
0.151000		0.070000		1.040368
0.152000		0.070000		1.092261
0.153000		0.070000		1.146163
0.154000		0.070000		1.202128
0.155000		0.070000		1.260210
0.156000		0.070000		1.320463
0.157000		0.070000		1.382942
0.158000		0.070000		1.447705
0.159000		0.070000		1.514806
0.160000		0.070000		1.584302
0.161000		0.070000		1.656252
0.162000		0.070000		1.730714
0.163000		0.070000		1.807744
0.164000		0.070000		1.887403
0.165000		0.070000		1.969750
0.166000		0.070000		2.054844
0.167000		0.070000		2.142746
0.168000		0.070000		2.233515
0.169000		0.070000		2.327214
0.170000		0.070000		2.423902
0.171000		0.070000		2.523642
0.172000		0.070000		2.626495
0.173000		0.070000		2.732524
0.174000		0.070000		2.841791
0.175000		0.070000		2.954358
0.176000		0.070000		3.070289
0.177000		0.070000		3.189645
0.178000		0.070000		3.312491
0.179000		0.070000		3.438890
0.180000		0.070000		3.568905
0.181000		0.070000		3.702600
0.182000		0.070000		3.840038
0.183000		0.070000		3.981284
0.184000		0.070000		4.126401
0.185000		0.070000		4.275452
0.186000		0.070000		4.428503
0.187000		0.070000		4.585616
0.188000		0.070000		4.746855
0.189000		0.070000		4.912284
0.190000		0.070000		5.081968
0.191000		0.070000		5.255968
0.192000		0.070000		5.434350
0.193000		0.070000		5.617175
