80
180
L [fm^-1]		aL		c2_vah1 [...]
1.175949		0.290503		0.029962
1.184177		0.290503		0.028075
1.192405		0.290503		0.026321
1.200633		0.290503		0.024690
1.208861		0.290503		0.023173
1.217089		0.290503		0.021760
1.225316		0.290503		0.020444
1.233544		0.290503		0.019217
1.241772		0.290503		0.018073
1.250000		0.290503		0.017006
0.600000		0.300559		13.769550
0.608228		0.300559		12.297716
0.616456		0.300559		10.993055
0.624684		0.300559		9.835347
0.632911		0.300559		8.806994
0.641139		0.300559		7.892655
0.649367		0.300559		7.078931
0.657595		0.300559		6.354101
0.665823		0.300559		5.707899
0.674051		0.300559		5.131315
0.682278		0.300559		4.616434
0.690506		0.300559		4.156294
0.698734		0.300559		3.744763
0.706962		0.300559		3.376431
0.715190		0.300559		3.046526
0.723418		0.300559		2.750828
0.731646		0.300559		2.485605
0.739873		0.300559		2.247551
0.748101		0.300559		2.033740
0.756329		0.300559		1.841572
0.764557		0.300559		1.668742
0.772785		0.300559		1.513201
0.781013		0.300559		1.373127
0.789241		0.300559		1.246900
0.797468		0.300559		1.133077
0.805696		0.300559		1.030371
0.813924		0.300559		0.937637
0.822152		0.300559		0.853853
0.830380		0.300559		0.778104
0.838608		0.300559		0.709577
0.846835		0.300559		0.647543
0.855063		0.300559		0.591349
0.863291		0.300559		0.540412
0.871519		0.300559		0.494211
0.879747		0.300559		0.452279
0.887975		0.300559		0.414195
0.896203		0.300559		0.379584
0.904430		0.300559		0.348109
0.912658		0.300559		0.319466
0.920886		0.300559		0.293385
0.929114		0.300559		0.269619
0.937342		0.300559		0.247950
0.945570		0.300559		0.228180
0.953797		0.300559		0.210130
0.962025		0.300559		0.193639
0.970253		0.300559		0.178564
0.978481		0.300559		0.164774
0.986709		0.300559		0.152151
0.994937		0.300559		0.140589
1.003165		0.300559		0.129992
1.011392		0.300559		0.120272
1.019620		0.300559		0.111353
1.027848		0.300559		0.103162
1.036076		0.300559		0.095635
1.044304		0.300559		0.088714
1.052532		0.300559		0.082346
1.060759		0.300559		0.076484
1.068987		0.300559		0.071083
1.077215		0.300559		0.066105
1.085443		0.300559		0.061513
1.093671		0.300559		0.057275
1.101899		0.300559		0.053361
1.110127		0.300559		0.049745
1.118354		0.300559		0.046401
1.126582		0.300559		0.043307
1.134810		0.300559		0.040443
1.143038		0.300559		0.037790
1.151266		0.300559		0.035332
1.159494		0.300559		0.033052
1.167722		0.300559		0.030936
1.175949		0.300559		0.028972
1.184177		0.300559		0.027147
1.192405		0.300559		0.025452
1.200633		0.300559		0.023875
1.208861		0.300559		0.022407
1.217089		0.300559		0.021041
1.225316		0.300559		0.019768
1.233544		0.300559		0.018582
1.241772		0.300559		0.017476
1.250000		0.300559		0.016444
0.600000		0.310615		13.331843
0.608228		0.310615		11.906719
0.616456		0.310615		10.643469
0.624684		0.310615		9.522515
0.632911		0.310615		8.526815
0.641139		0.310615		7.641515
0.649367		0.310615		6.853639
0.657595		0.310615		6.151839
0.665823		0.310615		5.526172
0.674051		0.310615		4.967915
0.682278		0.310615		4.469404
0.690506		0.310615		4.023896
0.698734		0.310615		3.625453
0.706962		0.310615		3.268839
0.715190		0.310615		2.949431
0.723418		0.310615		2.663143
0.731646		0.310615		2.406362
0.739873		0.310615		2.175888
0.748101		0.310615		1.968885
0.756329		0.310615		1.782837
0.764557		0.310615		1.615513
0.772785		0.310615		1.464927
0.781013		0.310615		1.329317
0.789241		0.310615		1.207113
0.797468		0.310615		1.096917
