   13122  2  0.333          3112     211       0       0       0
  100323  K*1410(+)             1.41000   0.22700  3  0  1  0  0  2  1  6
  100323  2  0.200           311     211       0       0       0
  100323  2  0.100           321     111       0       0       0
  100323  2  0.433           313     211       0       0       0
  100323  2  0.217           323     111       0       0       0
  100323  2  0.033           311     213       0       0       0
  100323  2  0.017           321     113       0       0       0
 -100323  K*1410(-)             1.41000   0.22700  3  0 -1  0  0  2 -1  6
 -100323  2  0.200          -311    -211       0       0       0
 -100323  2  0.100          -321     111       0       0       0
 -100323  2  0.433          -313    -211       0       0       0
 -100323  2  0.217          -323     111       0       0       0
 -100323  2  0.033          -311    -213       0       0       0
 -100323  2  0.017          -321     113       0       0       0
  100313  K*1410(0)             1.41000   0.22700  3  0  1  0  0  2  0  6
  100313  2  0.200           321    -211       0       0       0
  100313  2  0.100           311     111       0       0       0
  100313  2  0.433           323    -211       0       0       0
  100313  2  0.217           313     111       0       0       0
  100313  2  0.033           321    -213       0       0       0
  100313  2  0.017           311     113       0       0       0
 -100313  Anti-K*1410(0)        1.41000   0.22700  3  0 -1  0  0  2  0  6
 -100313  2  0.200          -321     211       0       0       0
 -100313  2  0.100          -311     111       0       0       0
 -100313  2  0.433          -323     211       0       0       0
 -100313  2  0.217          -313     111       0       0       0
 -100313  2  0.033          -321     213       0       0       0
 -100313  2  0.017          -311     113       0       0       0
  100223  omega1420              1.41900   0.17400  3  0  0  0  0  1  0  3
  100223  2  0.333           213    -211       0       0       0
  100223  2  0.334           113     111       0       0       0
  100223  2  0.333          -213     211       0       0       0
   20333  f1-1420                 1.42600   0.05500  3  0  0  0  0  1  0  5
   20333  2  0.240           323    -321       0       0       0
   20333  2  0.240           313    -311       0       0       0
   20333  2  0.240          -323     321       0       0       0
   20333  2  0.240          -313     311       0       0       0
   20333  3  0.040           211    -211     111       0       0
   10321  K0*1430(+)            1.42900   0.28700  1  0  1  0  0  2  1  2
   10321  2  0.667           311     211       0       0       0
   10321  2  0.333           321     111       0       0       0
  -10321  K0*1430(-)            1.42900   0.28700  1  0 -1  0  0  2 -1  2
  -10321  2  0.667          -311    -211       0       0       0
  -10321  2  0.333          -321     111       0       0       0
   10311  K0*1430(0)            1.42900   0.28700  1  0  1  0  0  2  0  2
   10311  2  0.667           321    -211       0       0       0
   10311  2  0.333           311     111       0       0       0
  -10311  Anti-K0*1430(0)       1.42900   0.28700  1  0 -1  0  0  2  0  2
  -10311  2  0.667          -321     211       0       0       0
  -10311  2  0.333          -311     111       0       0       0
